block,bcv,timestamp
3882822,295,1630858248
3882828,290,1630858260
3882839,285,1630858281
3882845,280,1630858299
3882902,275,1630858460
3882911,270,1630858487
3882923,265,1630858520
3882934,260,1630858551
3883012,255,1630858761
3883169,250,1630859185
3883172,245,1630859195
3883177,240,1630859214
3883184,235,1630859234
3883199,230,1630859258
3883238,225,1630859359
3883249,220,1630859377
3883262,215,1630859402
3883268,210,1630859420
3883280,205,1630859460
3883287,200,1630859478
3883581,195,1630860173
3883599,190,1630860190
3883880,185,1630860428
3883880,180,1630860428
3883901,175,1630860455
3883916,170,1630860470
3883949,165,1630860524
3883976,160,1630860559
3884529,156,1630861693
3884564,152,1630861769
3884578,148,1630861798
3884586,144,1630861816
3884599,140,1630861852
3971814,137,1631030964
3971820,134,1631030976
3971888,131,1631031067
3971900,128,1631031082
3971902,125,1631031085
3971911,122,1631031097
3971911,119,1631031097
3971923,113,1631031113
3971923,116,1631031113
3971923,110,1631031113
3971924,107,1631031116
3972424,104,1631031778
3972448,101,1631031806
5099572,102,1633137315
5107110,103,1633152832
5115345,104,1633169801
5122685,105,1633184924
5130253,106,1633200647
5205977,107,1633356231
5224606,108,1633394217
5236444,109,1633418351
5245615,110,1633438033
5260179,111,1633467799
5344326,112,1633638478
5358402,113,1633667038
5372450,114,1633695649
5382283,115,1633715704
5390793,116,1633733124
5422206,117,1633797008
5430876,118,1633814694
5439528,119,1633832284
5448439,120,1633850444
5461125,121,1633876185
5624516,122,1634213015
5633041,123,1634230803
5646719,124,1634259294
5656105,125,1634278864
5668911,126,1634305834
5677448,127,1634323639
5687155,128,1634344014
5696362,129,1634363141
5705007,130,1634381224
5713811,131,1634399455
5981872,132,1634951655
5991952,133,1634971984
6000638,134,1634989616
6011672,135,1635011955
6022844,136,1635034581
6031452,137,1635052063
6055797,138,1635101311
6067307,139,1635124619
6076008,140,1635142249
6085134,141,1635160738
6348270,142,1635693891
6353132,143,1635703709
6357729,144,1635712964
6363233,145,1635724063
6369043,146,1635735800
6374075,147,1635746031
6380826,148,1635759970
6385312,149,1635769183
6389774,150,1635778208
6395482,151,1635789679
